"","country_name","country_code","wals_code","X1","iso_lang_code","language_name","genus","subfamily","family","lsbranch","ssbranch","sbranch","mbranch","stock","elev_ft","elev_m","latitude","longitude","secondary_country","area","macroarea","continent","glot_features","cv_ratio","tones","rangesize","population","vehicularity","L2prop","H","H_unigram","lang.count","lang.percent","established.langs","immigrant.langs","total.speakers","mean.speakers","median.speakers","diversity.index","div.coverage","GDP"
"50","Brazil","BR","hix","hix","hix","Hixkaryana","Cariban",NA,"Cariban",NA,NA,NA,NA,"Cariban",659.4,200.98512,-1,-59,NA,"NE South America","South America","S America","1 - No glottalized consonants","3 - Average","1 - No tones",2198.939581,600,0,0,NA,NA,228,3.21,217,11,204653402,934490,210,0.101,0.96,8921
"51","Brazil","BR","apu","apu","apu","Apurinv£","Purus",NA,"Arawakan",NA,NA,NA,"Apurina-Piro-I<f1>apari","Arawakan",561,170.9928,-9,-67,NA,"NE South America","South America","S America","1 - No glottalized consonants","3 - Average","1 - No tones",31295.5603,4087,0,0,1.36331749,9.985337257,228,3.21,217,11,204653402,934490,210,0.101,0.96,8921
"52","Brazil","BR","max","mbl","mbl","Maxakalv<U+2260>","Maxakalv<U+2260>",NA,"Macro-Ge",NA,NA,NA,"Maxakal<ed>","Macro-Ge",128,39.0144,-18,-40,NA,"SE South America","South America","S America","1 - No glottalized consonants","1 - Low","1 - No tones",3450.496088,800,0,0,1.228427291,8.107276917,228,3.21,217,11,204653402,934490,210,0.101,0.96,8921
"53","Brazil","BR","nmb","nab","nab","Nambikuv∞ra (Southern)","Nambikuaran",NA,"Nambikuaran",NA,NA,NA,NA,"Nambikwara",1876.6,571.98768,-14,-59.5,NA,"NE South America","South America","S America","8 - Ejectives, implosives, and glottalized resonants","4 - Moderately high","3 - Complex tone system",21524.73062,1150,0,0,0.990492225,11.74796772,228,3.21,217,11,204653402,934490,210,0.101,0.96,8921
"54","Bulgaria","BG","bul","bul","bul","Bulgarian","Slavic",NA,"Indo-European",NA,"South Slavic","Slavic","Balto-Slavic","Indo-European",2611.5,795.9852,42.5,25,NA,"Europe","Eurasia","W and SW Eurasia","1 - No glottalized consonants","3 - Average","1 - No tones",101895.8359,8775000,1,NA,1.853803515,9.314760208,25,0.35,13,12,7833570,356071,5310,0.23,0.88,9388
"55","Burkina Faso","BF","bbf","bbo","bbo","Bobo Madarv© (Northern)","Western Mande",NA,"Mande",NA,NA,NA,"West Mande","Mande",1456.7,444.00216,12.41666667,-4.333333333,NA,"African Savannah","Africa","Africa","1 - No glottalized consonants","3 - Average","3 - Complex tone system",3942.128595,60000,0,0,NA,NA,71,1,71,0,12472930,183425,20500,0.721,0.96,820
"56","Cambodia","KH","khm","khm","khm","Khmer","Khmer","Mon-Khmer","Austro-Asiatic",NA,NA,"Khmeric","Eastern Mon-Khmer","Austroasiatic",36.1,11.00328,12.5,105,NA,"Southeast Asia","Eurasia","S/SE Asia","3 - Implosives only","2 - Moderately low","1 - No tones",141254.2386,13370400,1,0.057504181,1.383641601,NA,29,0.41,27,2,16326490,583089,5210,0.154,0.97,1512
"57","Cameroon","CM","ewo","ewo","ewo","Ewondo","Bantoid","Benue-Congo","Niger-Congo",NA,NA,"Bantu (narrow)","Bantoid","Benue-Congo",2135.8,650.99184,4,12,NA,"African Savannah","Africa","Africa","1 - No glottalized consonants","3 - Average","3 - Complex tone system",50801.96222,578000,1,NA,NA,NA,275,3.87,274,1,10228065,38451,10000,0.975,0.97,1534
"58","Cameroon","CM","non","nhu","nhu","Noni","Bantoid","Benue-Congo","Niger-Congo",NA,NA,NA,"Bantoid","Benue-Congo",3960,1207.008,6.416666667,10.58333333,NA,"African Savannah","Africa","Africa","1 - No glottalized consonants","2 - Moderately low","3 - Complex tone system",296.304951,25000,0,0,1.52080524,8.07499218,275,3.87,274,1,10228065,38451,10000,0.975,0.97,1534
"59","Cameroon","CM","agh","agq","agq","Aghem","Bantoid","Benue-Congo","Niger-Congo",NA,NA,"Grassfields Bantu","Bantoid","Benue-Congo",2421.3,738.01224,6.666666667,10,NA,"African Savannah","Africa","Africa","1 - No glottalized consonants","2 - Moderately low","2 - Simple tone system",183.2016821,26700,0,0,NA,NA,275,3.87,274,1,10228065,38451,10000,0.975,0.97,1534
"60","Cameroon","CM","doy","dow","dow","Doyayo","Samba-Duru","Adamawa-Ubangi","Niger-Congo",NA,NA,NA,NA,"Adamawa-Ubangi",1030.2,314.00496,8.666666667,13.08333333,NA,"African Savannah","Africa","Africa","3 - Implosives only","3 - Average","3 - Complex tone system",2295.030734,18000,0,0,1.741900086,8.413003922,275,3.87,274,1,10228065,38451,10000,0.975,0.97,1534
"61","Canada","CA","bco","blc","blc","Bella Coola","Bella Coola",NA,"Salishan",NA,NA,NA,NA,"Salishan",868.1,264.59688,52.5,-126.6666667,NA,"Alaska-Oregon","North America","W N America","2 - Ejectives only","5 - High","1 - No tones",45.76502052,20,0,0,NA,NA,195,2.74,96,99,33362312,174672,260,0.614,0.98,46192
"62","Canada","CA","chp","chp","chp","Chipewyan","Athapaskan",NA,"Na-Dene",NA,NA,NA,"Athabaskan","Na-Dene",1028.5,313.4868,59,-106,NA,"E North America","North America","E N America","2 - Ejectives only","5 - High","2 - Simple tone system",3916.593284,9030,0,0,NA,NA,195,2.74,96,99,33362312,174672,260,0.614,0.98,46192
"63","Canada","CA","shu","shs","shs","Shuswap","Interior Salish",NA,"Salishan",NA,NA,"Northern Interior Salish","Interior Salish","Salishan",3323.1,1012.88088,52,-120,NA,"Alaska-Oregon","North America","W N America","6 - Ejectives and glottalized resonants","4 - Moderately high","1 - No tones",831.0722457,500,0,0,NA,NA,195,2.74,96,99,33362312,174672,260,0.614,0.98,46192
"64","Canada","CA","squ","squ","squ","Squamish","Central Salish",NA,"Salishan",NA,"South Georgia","Central Coast Salish","Coast Salish","Salishan",247.4,75.40752,49.66666667,-123.1666667,NA,"Alaska-Oregon","North America","W N America","6 - Ejectives and glottalized resonants","5 - High","1 - No tones",22.59523646,15,0,0,NA,NA,195,2.74,96,99,33362312,174672,260,0.614,0.98,46192
"65","Canada","CA","kwk","kwk","kwk","Kwakw'ala","Northern Wakashan",NA,"Wakashan",NA,NA,NA,"Kwakiutlan (North Wakashan)","Wakashan",281.7,85.86216,51,-127,NA,"Alaska-Oregon","North America","W N America","6 - Ejectives and glottalized resonants","5 - High","1 - No tones",178.4028189,190,0,0,NA,NA,195,2.74,96,99,33362312,174672,260,0.614,0.98,46192
