wals_code,Name,latitude,longitude,countrycodes,elev-ft,elev-m
kng,Kaingang,-26,-52,BR,2509.8,764.98704
knk,Kanakuru,10,12,NG,613.5,186.9948
knm,Kunama,14.5,37,ER ET,4511.2,1375.01376
knr,Kanuri,12,13,NE TD SD NG,1043.3,317.99784
koa,Koasati,34.83333333,-85.16666667,US,937.2,285.65856
kob,Kobon,-5.166666667,144.3333333,PG,6906.2,2105.00976
koh,Kohumono,6,8.116666667,NG,75.5,23.0124
koi,Koiari,-9.5,147.3333333,PG,301.8,91.98864
kom,Komo,8.75,33.75,SS ET,1368.1,416.99688
kor,Korean,37.5,128,KR KP,620.1,189.00648
kot,Kota,11.5,77.16666667,IN,892.4,272.00352
koy,Koya,17.5,81.33333333,IN,757.9,231.00792
kpa,Kpan,7.583333333,10.16666667,NG,449.5,137.0076
kpe,Kpelle,7,-10,LR,666,202.9968
krb,Kiribati,1.333333333,173,KI,0,0
krd,Kurdish (Central),36,44,IQ IR,1240.2,378.01296
krk,Karok,41.66666667,-123,US,3830.9,1167.65832
kro,Krongo,10.5,30,SD,1463.3,446.01384
kry,Koryak,61,167,RU,446.2,136.00176
kse,Koyraboro Senni,16,0,NE ML,951.4,289.98672
ksg,Karen (Sgaw),18,97,MM,1026.9,312.99912
kss,Kisi (Southern),8.5,-10.25,LR GN,1446.9,441.01512
ktk,Kotoko,11.33333333,15.33333333,CF,1013.8,309.00624
kty,Khanty,65,65,RU,32.8,9.99744
kul,Kullo,6.75,37.08333333,ET,5544.6,1689.99408
kun,Kuna,8,-77.33333333,PA CO,1709.3,520.99464
kur,Kurukh,22.83333333,85.5,IN,1942.3,592.01304
kut,Kutenai,49.5,-116,US CA,7319,2230.8312
kwa,Kwaio,-8.95,161,SB,2480.3,755.99544
kwk,Kwakw'ala,51,-127,CA,281.7,85.86216
kwo,Kwoma,-4.166666667,142.75,PG,626.6,190.98768
kws,Kawaiisu,36,-117.5,US,5684.9,1732.75752
kya,Kuku-Yalanji,-16,145,AU,2293.3,698.99784
kyl,Kayah Li (Eastern),19,97.5,MM TH,971.1,295.99128
kzh,Kam (Zhanglu),26,108.5,CN,1479.7,451.01256
kzy,Komi-Zyrian,65,55,RU,456,138.9888
lad,Ladakhi,34,78,IN,17368.8,5294.01024
lah,Lahu,20,98.16666667,CN TH MM,1082.7,330.00696
lak,Lak,42.16666667,47.16666667,RU,4688.3,1428.99384
