wals code,name,value,description,latitude,longitude,genus,family,area
haw,Hawaiian,1,No glottalized consonants,19.58333333,-155.5,Oceanic,Austronesian,Phonology
hba,Hebrew (Modern Ashkenazic),1,No glottalized consonants,31.75,35.16666667,Semitic,Afro-Asiatic,Phonology
hin,Hindi,1,No glottalized consonants,25,77,Indic,Indo-European,Phonology
hix,Hixkaryana,1,No glottalized consonants,-1,-59,Cariban,Cariban,Phonology
hmo,Hmong Njua,1,No glottalized consonants,28,105,Hmong-Mien,Hmong-Mien,Phonology
hop,Hopi,1,No glottalized consonants,36,-110,Hopi,Uto-Aztecan,Phonology
htc,Huastec,2,Ejectives only,22.08333333,-99.33333333,Mayan,Mayan,Phonology
hve,Huave (San Mateo del Mar),1,No glottalized consonants,16.21666667,-95,Huavean,Huavean,Phonology
hum,Huitoto (Murui),1,No glottalized consonants,-1,-73.5,Huitoto,Huitotoan,Phonology
hun,Hungarian,1,No glottalized consonants,47,20,Ugric,Uralic,Phonology
hzb,Hunzib,2,Ejectives only,42.16666667,46.25,Avar-Andic-Tsezic,Nakh-Daghestanian,Phonology
hup,Hupa,2,Ejectives only,41.08333333,-123.6666667,Athapaskan,Na-Dene,Phonology
iaa,Iaai,1,No glottalized consonants,-20.41666667,166.5833333,Oceanic,Austronesian,Phonology
iba,Iban,1,No glottalized consonants,2,112,Malayo-Sumbawan,Austronesian,Phonology
igb,Igbo,1,No glottalized consonants,6,7.333333333,Igboid,Niger-Congo,Phonology
ign,Ignaciano,1,No glottalized consonants,-15.16666667,-65.41666667,Bolivia-Parana,Arawakan,Phonology
ijo,Ijo (Kolokuma),1,No glottalized consonants,4.916666667,5.666666667,Ijoid,Ijoid,Phonology
ik,Ik,5,Ejectives and implosives,3.75,34.16666667,Kuliak,Eastern Sudanic,Phonology
ika,Ika,1,No glottalized consonants,10.66666667,-73.75,Arhuacic,Chibchan,Phonology
imo,Imonda,1,No glottalized consonants,-3.333333333,141.1666667,Border,Border,Phonology
ind,Indonesian,1,No glottalized consonants,0,106,Malayo-Sumbawan,Austronesian,Phonology
igs,Ingessana,1,No glottalized consonants,11.5,34,Eastern Jebel,Eastern Sudanic,Phonology
ing,Ingush,2,Ejectives only,43.16666667,45.08333333,Nakh,Nakh-Daghestanian,Phonology
irx,Iranxe,1,No glottalized consonants,-13,-58,Iranxe,Iranxe,Phonology
irq,Iraqw,5,Ejectives and implosives,-4,35.5,Southern Cushitic,Afro-Asiatic,Phonology
irr,Irarutu,1,No glottalized consonants,-3,133.5,South Halmahera - West New Guinea,Austronesian,Phonology
