wals_code,Name,latitude,longitude,family,macroarea,countrycodes,values,description
kkv,Lusi,-5.583333333,149.6666667,Austronesian,Papunesia,PG,1,No tones
kla,Klao,4.75,-8.75,Niger-Congo,Africa,LR,3,Complex tone system
klm,Klamath,42.5,-121.5,Penutian,North America,US,1,No tones
klv,Kilivila,-8.5,151.0833333,Austronesian,Papunesia,PG,1,No tones
kly,Kala Lagaw Ya,-10.11666667,142.1166667,Pama-Nyungan,Papunesia,AU,1,No tones
kmp,Kunimaipa,-8,146.8333333,Trans-New Guinea,Papunesia,PG,1,No tones
kmu,Khmu',21,102,Austro-Asiatic,Eurasia,LA,2,Simple tone system
knd,Kannada,14,76,Dravidian,Eurasia,IN,1,No tones
kng,Kaingang,-26,-52,Macro-Ge,South America,BR,1,No tones
knk,Kanakuru,10,12,Afro-Asiatic,Africa,NG,2,Simple tone system
knm,Kunama,14.5,37,Kunama,Africa,ER ET,2,Simple tone system
knr,Kanuri,12,13,Saharan,Africa,NE TD SD NG,2,Simple tone system
koa,Koasati,34.83333333,-85.16666667,Muskogean,North America,US,3,Complex tone system
kob,Kobon,-5.166666667,144.3333333,Trans-New Guinea,Papunesia,PG,1,No tones
koh,Kohumono,6,8.116666667,Niger-Congo,Africa,NG,3,Complex tone system
koi,Koiari,-9.5,147.3333333,Trans-New Guinea,Papunesia,PG,2,Simple tone system
kom,Komo,8.75,33.75,Koman,Africa,SS ET,3,Complex tone system
kor,Korean,37.5,128,Korean,Eurasia,KR KP,1,No tones
kot,Kota,11.5,77.16666667,Dravidian,Eurasia,IN,1,No tones
koy,Koya,17.5,81.33333333,Dravidian,Eurasia,IN,1,No tones
kpa,Kpan,7.583333333,10.16666667,Niger-Congo,Africa,NG,3,Complex tone system
kpe,Kpelle,7,-10,Mande,Africa,LR,3,Complex tone system
krb,Kiribati,1.333333333,173,Austronesian,Papunesia,KI,1,No tones
krd,Kurdish (Central),36,44,Indo-European,Eurasia,IQ IR,1,No tones
krk,Karok,41.66666667,-123,Karok,North America,US,2,Simple tone system
kro,Krongo,10.5,30,Kadu,Africa,SD,2,Simple tone system
kry,Koryak,61,167,Chukotko-Kamchatkan,Eurasia,RU,1,No tones
ksg,Karen (Sgaw),18,97,Sino-Tibetan,Eurasia,MM,3,Complex tone system
kss,Kisi (Southern),8.5,-10.25,Niger-Congo,Africa,LR GN,2,Simple tone system
ktk,Kotoko,11.33333333,15.33333333,Afro-Asiatic,Africa,CF,2,Simple tone system
kty,Khanty,65,65,Uralic,Eurasia,RU,1,No tones
kul,Kullo,6.75,37.08333333,Afro-Asiatic,Africa,ET,2,Simple tone system
kun,Kuna,8,-77.33333333,Chibchan,South America,PA CO,1,No tones
kut,Kutenai,49.5,-116,Kutenai,North America,US CA,1,No tones
kwa,Kwaio,-8.95,161,Austronesian,Papunesia,SB,1,No tones
kwk,Kwakw'ala,51,-127,Wakashan,North America,CA,1,No tones
kws,Kawaiisu,36,-117.5,Uto-Aztecan,North America,US,1,No tones
kya,Kuku-Yalanji,-16,145,Pama-Nyungan,Australia,AU,1,No tones
kyl,Kayah Li (Eastern),19,97.5,Sino-Tibetan,Eurasia,MM TH,3,Complex tone system
kzh,Kam (Zhanglu),26,108.5,Tai-Kadai,Eurasia,CN,3,Complex tone system
kzy,Komi-Zyrian,65,55,Uralic,Eurasia,RU,1,No tones
lad,Ladakhi,34,78,Sino-Tibetan,Eurasia,IN,1,No tones
lah,Lahu,20,98.16666667,Sino-Tibetan,Eurasia,CN TH MM,3,Complex tone system
lak,Lak,42.16666667,47.16666667,Nakh-Daghestanian,Eurasia,RU,1,No tones
lam,Lamé,9,14.5,Afro-Asiatic,Africa,TD CM,3,Complex tone system
lan,Lango,2.166666667,33,Eastern Sudanic,Africa,UG,2,Simple tone system
lat,Latvian,57,24,Indo-European,Eurasia,LV,2,Simple tone system
lav,Lavukaleve,-9.083333333,159.2,Solomons East Papuan,Papunesia,SB,1,No tones
len,Lenakel,-19.45,169.25,Austronesian,Papunesia,VU,1,No tones
lez,Lezgian,41.66666667,47.83333333,Nakh-Daghestanian,Eurasia,AZ RU,1,No tones
lkk,Lakkia,24.08333333,110.1666667,Tai-Kadai,Eurasia,CN,3,Complex tone system
lkt,Lakhota,43.83333333,-101.8333333,Siouan,North America,US,1,No tones
llm,Lelemi,7.333333333,0.5,Niger-Congo,Africa,GH,2,Simple tone system
lu,Lü,22,100.6666667,Tai-Kadai,Eurasia,CN LA MM,3,Complex tone system
lua,Lua,9.75,17.75,Niger-Congo,Africa,TD,3,Complex tone system
lug,Lugbara,3.083333333,30.91666667,Central Sudanic,Africa,CD UG,3,Complex tone system
lui,Luiseño,33.33333333,-117.1666667,Uto-Aztecan,North America,US,1,No tones
luo,Luo,-0.5,34.75,Eastern Sudanic,Africa,TZ KE,2,Simple tone system
lus,Lushootseed,48,-122,Salishan,North America,US,1,No tones
luv,Luvale,-12,22,Niger-Congo,Africa,AO,2,Simple tone system
maa,Maasai,-3,36,Eastern Sudanic,Africa,KE TZ,2,Simple tone system
mab,Maba,13.75,20.83333333,Maban,Africa,TD,2,Simple tone system
mak,Makah,48.33333333,-124.6666667,Wakashan,North America,US,1,No tones
mal,Malagasy,-20,47,Austronesian,Africa,MG,1,No tones
mao,Maori,-40,176,Austronesian,Papunesia,NZ,1,No tones
map,Mapudungun,-38,-72,Araucanian,South America,CL,1,No tones
mar,Maricopa,33.16666667,-113.1666667,Hokan,North America,US,1,No tones
mau,Maung,-11.91666667,133.5,Iwaidjan,Australia,AU,1,No tones
max,Maxakalí,-18,-40,Macro-Ge,South America,BR,1,No tones
may,Maybrat,-1.333333333,132.5,West Papuan,Papunesia,ID,1,No tones
maz,Mazahua,19.41666667,-99.91666667,Oto-Manguean,North America,MX,2,Simple tone system
mba,Mba,1,25,Niger-Congo,Africa,CD,3,Complex tone system
mbb,Mbabaram,-17.16666667,145,Pama-Nyungan,Australia,AU,1,No tones
mbm,Mbum,7.75,13.16666667,Niger-Congo,Africa,CF CM TD,2,Simple tone system
mei,Meithei,24.75,94,Sino-Tibetan,Eurasia,IN,2,Simple tone system
mgg,Mangghuer,36,102,Altaic,Eurasia,CN,1,No tones
mie,Mien,25,111,Hmong-Mien,Eurasia,CN,3,Complex tone system
mku,Maranungku,-13.66666667,130,Western Daly,Australia,AU,1,No tones
mla,Mambila,6.75,11.5,Niger-Congo,Africa,CM NG,3,Complex tone system
mlk,Malakmalak,-13.41666667,130.4166667,Northern Daly,Australia,AU,1,No tones
mnd,Mandarin,34,110,Sino-Tibetan,Eurasia,CN,3,Complex tone system
mne,Maidu (Northeast),40,-120.6666667,Penutian,North America,US,1,No tones
mog,Moghol,35,62,Altaic,Eurasia,AF,1,No tones
mor,Mor,-2.95,135.75,Austronesian,Papunesia,ID,2,Simple tone system
mov,Movima,-13.83333333,-65.66666667,Movima,South America,BO,1,No tones
mpa,Murrinh-Patha,-14.66666667,129.6666667,Southern Daly,Australia,AU,1,No tones
mrd,Marind,-7.833333333,140.1666667,Marind,Papunesia,ID,1,No tones
mrg,Margi,11,13,Afro-Asiatic,Africa,NG,2,Simple tone system
mrl,Murle,6.5,33.5,Eastern Sudanic,Africa,SS,2,Simple tone system
mrn,Maranao,7.833333333,124.25,Austronesian,Papunesia,PH,1,No tones
mro,Moro,11,30.16666667,Kordofanian,Africa,SD,2,Simple tone system
mrt,Martuthunira,-20.83333333,116.5,Pama-Nyungan,Australia,AU,1,No tones
mss,Miwok (Southern Sierra),37.5,-120,Penutian,North America,US,1,No tones
mtp,Mixe (Totontepec),17.25,-96,Mixe-Zoque,North America,MX,1,No tones
mui,Muinane,-1,-72.5,Huitotoan,South America,CO,2,Simple tone system
mum,Mumuye,9,11.66666667,Niger-Congo,Africa,NG,3,Complex tone system
mun,Mundari,23,84.66666667,Austro-Asiatic,Eurasia,IN,1,No tones
mxc,Mixtec (Chalcatongo),17.05,-97.58333333,Oto-Manguean,North America,MX,3,Complex tone system
mxm,Mixtec (Molinos),17,-97.58333333,Oto-Manguean,North America,MX,3,Complex tone system
mya,Ma'ya,-1.25,130.9166667,Austronesian,Papunesia,ID,3,Complex tone system
myi,Mangarrayi,-14.66666667,133.5,Mangarrayi-Maran,Australia,AU,1,No tones
mzc,Mazatec (Chiquihuitlán),17.75,-96.91666667,Oto-Manguean,North America,MX,3,Complex tone system
nai,Nanai,49.5,137,Altaic,Eurasia,RU,1,No tones
nan,Nandi,0.25,35,Eastern Sudanic,Africa,KE,2,Simple tone system
nap,Neo-Aramaic (Persian Azerbaijan),38,47,Afro-Asiatic,Eurasia,IR IL,1,No tones
nar,Nara (in Ethiopia),15.08333333,37.58333333,Eastern Sudanic,Africa,ER,2,Simple tone system
nav,Navajo,36.16666667,-108,Na-Dene,North America,US,2,Simple tone system
nax,Naxi,27.5,100,Sino-Tibetan,Eurasia,CN,3,Complex tone system
ndt,Ndut,14.91666667,-16.91666667,Niger-Congo,Africa,SN,3,Complex tone system
ndy,Ndyuka,4.5,-54.5,other,South America,GF SR,2,Simple tone system
nen,Nenets,69,72,Uralic,Eurasia,RU,1,No tones
nep,Nepali,28,85,Indo-European,Eurasia,NP,1,No tones
new,Newari (Kathmandu),27.66666667,85.5,Sino-Tibetan,Eurasia,NP,1,No tones
nez,Nez Perce,46,-116,Penutian,North America,US,1,No tones
nga,Nganasan,71,93,Uralic,Eurasia,RU,1,No tones
ngi,Ngiyambaa,-31.75,145.5,Pama-Nyungan,Australia,AU,1,No tones
