LID,ISO639.3,language,alt.language.name,language.search,lsbranch,ssbranch,sbranch,mbranch,stock,alt.stock.name,stock.search,longitude,latitude,area,continent
2883,sgh,Khufi,"Khuf, Chuf","Khufi, Khuf, Chuf",NA,Southeast Iranian,Iranian,Indo-Iranian,Indo-European,NA,Indo-European,71.56,37.95,Indic,S/SE Asia
2884,sgl,Zebaki,Zebak,"Zebaki, Zebak",NA,Southeast Iranian,Iranian,Indo-Iranian,Indo-European,NA,Indo-European,71.46,36.64,Indic,S/SE Asia
2885,sgh,Shughni,"Shugan, Shugnan","Shughni, Shugan, Shugnan",NA,Southeast Iranian,Iranian,Indo-Iranian,Indo-European,NA,Indo-European,72,37.7,Indic,S/SE Asia
2886,sgh,Bartangi,Bartang,"Bartangi, Bartang",NA,Southeast Iranian,Iranian,Indo-Iranian,Indo-European,NA,Indo-European,71.86,38.05,Indic,S/SE Asia
2887,sgh,Roshorvi,"Oroshori, Oroshor","Roshorvi, Oroshori, Oroshor",NA,Southeast Iranian,Iranian,Indo-Iranian,Indo-European,NA,Indo-European,71.59,37.93,Indic,S/SE Asia
2888,srh,Sariqoli,Sarikoli,"Sariqoli, Sarikoli",NA,Southeast Iranian,Iranian,Indo-Iranian,Indo-European,NA,Indo-European,75.22,37.78,Indic,S/SE Asia
2889,sgl,Sanglichi,Sanglechi,"Sanglichi, Sanglechi",NA,Southeast Iranian,Iranian,Indo-Iranian,Indo-European,NA,Indo-European,71.3,36.43,Indic,S/SE Asia
2890,ydg,Yidgha,NA,Yidgha,NA,Southeast Iranian,Iranian,Indo-Iranian,Indo-European,NA,Indo-European,71.5,35.9,Indic,S/SE Asia
2891,mnj,Munji,NA,Munji,NA,Southeast Iranian,Iranian,Indo-Iranian,Indo-European,NA,Indo-European,70.4,35.9,Indic,S/SE Asia
2892,prc,Parachi,NA,Parachi,NA,Northwest Iranian,Iranian,Indo-Iranian,Indo-European,NA,Indo-European,69.2,35.1,Inner Asia,S/SE Asia
2893,lat,Latin,NA,Latin,NA,NA,Italic,Italic-Celtic,Indo-European,NA,Indo-European,12,42.6,Europe,W and SW Eurasia
2894,scn,Sicilian,"Calabro-Sicilian, Sicilianu, Siculu","Sicilian, Calabro-Sicilian, Sicilianu, Siculu",NA,NA,Italic,Italic-Celtic,Indo-European,NA,Indo-European,13.22,38.07,Europe,W and SW Eurasia
