ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Subfamily,Genus,ISO_codes,Samples_100,Samples_200
mea,Meyah,,-1.166666667,133.5,meya1236,mej,East Bird's Head,,East Bird's Head,mej,FALSE,FALSE
meb,Melayu Betawi,,-6.5,107,beta1252,bew,other,,Creoles and Pidgins,bew,FALSE,FALSE
mee,Me'en,,5,37,meen1242,mym,Eastern Sudanic,,Surmic,mym,FALSE,FALSE
meh,Mehri,,17,51.5,mehr1241,gdq,Afro-Asiatic,,Semitic,gdq,FALSE,FALSE
mei,Meithei,,24.75,94,mani1292,mni,Sino-Tibetan,Tibeto-Burman,Kuki-Chin,mni,TRUE,TRUE
mek,Mekens,,-12.5,-61.5,saki1248,skf,Tupian,,Tupari,skf,FALSE,FALSE
mel,Melanau,,2.5,111.5,cent2101,mel,Austronesian,,North Borneo,mel,FALSE,FALSE
mem,Manem,,-3,140.8333333,mane1266,jet,Border,,Border,jet,FALSE,FALSE
men,Menomini,,45.5,-88.33333333,meno1252,mez,Algic,,Algonquian,mez,FALSE,FALSE
mer,Meryam Mir,,-9.916666667,144.0833333,meri1244,ulk,Western Fly,,Western Fly,ulk,FALSE,FALSE
mey,Menya,,-7.25,146,meny1245,mcr,Trans-New Guinea,,Angan,mcr,FALSE,FALSE
mga,Mondunga,,2.25,21.5,ndun1249,ndt,Niger-Congo,Adamawa-Ubangi,Ubangi,ndt,FALSE,FALSE
mgd,Mongondow,,0.666666667,124,mong1342,mog,Austronesian,,Greater Central Philippine,mog,FALSE,FALSE
mgg,Mangghuer,,36,102,tuuu1240,mjg,Altaic,,Mongolic,mjg,FALSE,FALSE
mgh,Magahi,,23.5,85.5,maga1260,mag,Indo-European,,Indic,mag,FALSE,FALSE
mgi,Magi,,-10.33333333,149.3333333,mail1248,mgu,Trans-New Guinea,,Mailuan,mgu,FALSE,FALSE
mgk,Mungaka,,5.916666667,10,mung1266,mhk,Niger-Congo,Benue-Congo,Bantoid,mhk,FALSE,FALSE
mgl,Mingrelian,,42.5,42,ming1252,xmf,Kartvelian,,Kartvelian,xmf,FALSE,FALSE
mgn,Magindanao,,6.833333333,124.5,magu1243,mdh,Austronesian,,Greater Central Philippine,mdh,FALSE,FALSE
mgo,Mongo,,0,21,mong1338,lol,Niger-Congo,Benue-Congo,Bantoid,lol,FALSE,FALSE
mgq,Mango,,8.75,17,mang1398,mge,Central Sudanic,,Bongo-Bagirmi,mge,FALSE,FALSE
mgu,Musgu,,10.83333333,14.91666667,musg1254,mug,Afro-Asiatic,Chadic,Biu-Mandara,mug,FALSE,FALSE
mhc,Mahican,,42.66666667,-73.5,mohe1244,xpq,Algic,,Algonquian,xpq,FALSE,FALSE
mhi,Marathi,,19,76,mara1378,mar,Indo-European,,Indic,mar,FALSE,FALSE
mhk,Mehek,,-3.75,142.5,mehe1243,nux,Sepik,,Tama Sepik,nux,FALSE,FALSE
mhl,Miri (Hill):,,27.91666667,93.83333333,misi1242,mrg,Sino-Tibetan,Tibeto-Burman,Tani,mrg,FALSE,FALSE
mhm,Mah Meri,,2.833333333,101.5,besi1244,mhe,Austro-Asiatic,Mon-Khmer,Aslian,mhe,FALSE,FALSE
mhu,Mbalanhu,,-17.5,15,mbal1255,lnb,Niger-Congo,Benue-Congo,Bantoid,lnb,FALSE,FALSE
mic,Micmac,,45,-63,mikm1235,mic,Algic,,Algonquian,mic,FALSE,FALSE
mid,Midob,,15.08333333,26.25,mido1240,mei,Eastern Sudanic,,Nubian,mei,FALSE,FALSE
mie,Mien,,25,111,iumi1238,ium,Hmong-Mien,,Hmong-Mien,ium,FALSE,FALSE
mig,Migama,,12.16666667,19.83333333,miga1249,mmy,Afro-Asiatic,Chadic,East Chadic,mmy,FALSE,FALSE
mii,Miisiirii,,13.5,22,tama1331,tma,Eastern Sudanic,,Taman,tma,FALSE,FALSE
mij,Miju,,29,96,miju1243,mxj,Sino-Tibetan,Tibeto-Burman,Tani,mxj,FALSE,FALSE
mik,Mikir,,26.33333333,93.5,karb1241,mjw,Sino-Tibetan,Tibeto-Burman,Kuki-Chin,mjw,FALSE,FALSE
mil,Milang,,28.5,95.25,damu1236,adi,Sino-Tibetan,Tibeto-Burman,Tani,adi,FALSE,FALSE
min,Minangkabau,,-1,101,mina1268,min,Austronesian,,Malayo-Sumbawan,min,FALSE,FALSE
mir,Miriwung,,-15.66666667,129,miri1266,mep,Jarrakan,,Jarrakan,mep,FALSE,FALSE
mis,Miskito,,14,-83.66666667,misk1235,miq,Misumalpan,,Misumalpan,miq,FALSE,FALSE
mit,Mituku,,-1.666666667,25.5,mitu1240,zmq,Niger-Congo,Benue-Congo,Bantoid,zmq,FALSE,FALSE
miy,Miya,,10.91666667,9.666666667,miya1266,mkf,Afro-Asiatic,Chadic,West Chadic,mkf,FALSE,FALSE
miz,Mizo,,23.16666667,92.83333333,lush1249,lus,Sino-Tibetan,Tibeto-Burman,Kuki-Chin,lus,FALSE,FALSE
mja,Mixtec (Jamiltepec),,16.25,-97.83333333,jami1235,mxt,Oto-Manguean,,Mixtecan,mxt,FALSE,FALSE
mjc,Mixtec (San Juan Colorado),,16.5,-98,sanj1281,mjc,Oto-Manguean,,Mixtecan,mjc,FALSE,FALSE
mjk,Manjaku,,12,-16.25,mand1419,mfv,Niger-Congo,Atlantic,Bak,mfv,FALSE,FALSE
mka,Mauka,,8.333333333,-7.5,maho1249,mxx,Mande,,Western Mande,mxx,FALSE,FALSE
mkb,Miwok (Bodega),,38.33333333,-123,coas1301,csi,Penutian,Utian,Miwok,csi,FALSE,FALSE
mkd,Makonde,,-11,40,mako1251,kde,Niger-Congo,Benue-Congo,Bantoid,kde,FALSE,FALSE
mke,Mekeo,,-8.333333333,146.5,meke1243,mek,Austronesian,Eastern Malayo-Polynesian,Oceanic,mek,FALSE,FALSE
mkg,Mandinka (Gambian),,13.41666667,-16,mand1436,mnk,Mande,,Western Mande,mnk,FALSE,FALSE
mkh,Mongol (Khamnigan),,49,117,,,Altaic,,Mongolic,,FALSE,FALSE
mki,Mikasuki,,32,-85,mika1239,mik,Muskogean,,Muskogean,mik,FALSE,FALSE
mkj,Makasae,,-8.666666667,126.5,maka1316,mkz,Timor-Alor-Pantar,,Makasae-Fataluku-Oirata,mkz,FALSE,FALSE
mkl,Maklew,,-7.666666667,139.4166667,makl1246,mgf,Bulaka River,,Bulaka River,mgf,FALSE,FALSE
mkn,Mankanya,,12.08333333,-15.91666667,mank1251,knf,Niger-Congo,Atlantic,Bak,knf,FALSE,FALSE
mko,Mokilko,,11.91666667,18.08333333,muku1242,moz,Afro-Asiatic,Chadic,East Chadic,moz,FALSE,FALSE
mkq,Mankon,,6,10.16666667,ngem1255,nge,Niger-Congo,Benue-Congo,Bantoid,nge,FALSE,FALSE
mkr,Mikarew,,-4.416666667,144.9166667,arua1260,msy,Lower Sepik-Ramu,,Mikarew,msy,FALSE,FALSE
mks,Makassar,,-5.416666667,119.5833333,maka1311,mak,Austronesian,,South Sulawesi,mak,FALSE,FALSE
mku,Maranungku,,-13.66666667,130,mara1386,zmr,Western Daly,,Wagaydy,zmr,FALSE,TRUE
mkw,Máku,,0.416666667,-69.83333333,maku1246,,,,,,FALSE,FALSE
mkz,Makaa,,3.416666667,12.25,maka1304,mcp,Niger-Congo,Benue-Congo,Bantoid,mcp,FALSE,FALSE
mla,Mambila,,6.75,11.5,,,Niger-Congo,Benue-Congo,Bantoid,mcu mzk,FALSE,FALSE
mlc,Malacca Creole,,2.2,102.25,mala1533,mcm,other,,Creoles and Pidgins,mcm,FALSE,FALSE
mle,Maale,,6,36.91666667,male1284,mdy,Afro-Asiatic,Omotic,North Omotic,mdy,FALSE,FALSE
mlg,Malgwa,,11.5,13.75,wand1278,mfi,Afro-Asiatic,Chadic,Biu-Mandara,mfi,FALSE,FALSE
mli,Mali,,-4.833333333,152.25,mali1284,gcc,Baining,,Baining,gcc,FALSE,FALSE
mlk,Malakmalak,,-13.41666667,130.4166667,mull1237,mpb,Northern Daly,Daly,Northern Daly,mpb,FALSE,FALSE
mll,Molala,,44.5,-122.5,mola1238,mbe,Penutian,,Molala,mbe,FALSE,FALSE
mlm,Mlabri (Minor),,18.5,101,mlab1235,mra,Austro-Asiatic,Mon-Khmer,Khmuic,mra,FALSE,FALSE
mlt,Maltese,,35.91666667,14.41666667,malt1254,mlt,Afro-Asiatic,,Semitic,mlt,FALSE,FALSE
mlu,Maleu,,-5.716666667,148.4166667,male1289,mgl,Austronesian,Eastern Malayo-Polynesian,Oceanic,mgl,FALSE,FALSE
mly,Malay,,3,102,stan1306,zsm,Austronesian,,Malayo-Sumbawan,zsm,FALSE,FALSE
mma,Mandaic (Modern),,31,48.5,nucl1706,mid,Afro-Asiatic,,Semitic,mid,FALSE,FALSE
mmb,Mangap-Mbula,,-5.666666667,148.0833333,mbul1263,mna,Austronesian,Eastern Malayo-Polynesian,Oceanic,mna,FALSE,FALSE
mme,Mari (Meadow),,57,48,east2328,mhr,Uralic,Finno-Ugric,Mari,mhr,FALSE,FALSE
mmi,Mambai,,9.666666667,14,mamb1294,mcs,Niger-Congo,Adamawa-Ubangi,Mbumic,mcs,FALSE,FALSE
mmn,Mamanwa,,9.416666667,125.5,mama1275,mmn,Austronesian,,Greater Central Philippine,mmn,FALSE,FALSE
mmo,Mordvin (Moksha),,54,44,moks1248,mdf,Uralic,Finno-Ugric,Mordvin,mdf,FALSE,FALSE
mmp,Mampruli,,10.33333333,-0.666666667,mamp1244,maw,Niger-Congo,Gur,Northern-Central Gur,maw,FALSE,FALSE
mms,Mamasa,,-3.083333333,119.6666667,mama1276,mqj,Austronesian,,South Sulawesi,mqj,FALSE,FALSE
mmu,Malay (Ulu Muar),,2.666666667,102.5,nege1240,zmi,Austronesian,,Malayo-Sumbawan,zmi,FALSE,FALSE
mmv,Mamvu,,3.25,29,mamv1243,mdi,Central Sudanic,,Mangbutu-Efe,mdi,FALSE,FALSE
mmw,Mambwe,,-9.083333333,31.16666667,mamb1296,mgr,Niger-Congo,Benue-Congo,Bantoid,mgr,FALSE,FALSE
mna,Muna,,-5,122.5,muna1247,mnb,Austronesian,,Celebic,mnb,FALSE,FALSE
mnc,Manchu,,49.5,127.5,manc1252,mnc,Altaic,,Tungusic,mnc,FALSE,FALSE
mnd,Mandarin,,34,110,mand1415,cmn,Sino-Tibetan,,Chinese,cmn,TRUE,TRUE
mne,Maidu (Northeast),,40,-120.6666667,nort2952,nmu,Penutian,,Maiduan,nmu,FALSE,FALSE
mng,Manggarai,,-8.5,120.3333333,mang1405,mqy,Austronesian,,Central Malayo-Polynesian,mqy,FALSE,FALSE
mni,Moni,,-3.666666667,137,moni1261,mnz,Trans-New Guinea,,Wissel Lakes-Kemandoga,mnz,FALSE,FALSE
mnj,Mantjiltjara,,-22.66666667,125.0833333,mart1256,mpj,Pama-Nyungan,,Western Pama-Nyungan,mpj,FALSE,FALSE
mnk,Maninka,,10.5,-9.5,east2426,emk,Mande,,Western Mande,emk,FALSE,FALSE
mnm,Manam,,-4,145,mana1295,mva,Austronesian,Eastern Malayo-Polynesian,Oceanic,mva,FALSE,FALSE
mno,Mono (in United States),,38,-119,mono1275,mnr,Uto-Aztecan,,Numic,mnr,FALSE,FALSE
mnr,Mandar,,-3.416666667,119.0833333,mand1442,mdr,Austronesian,,South Sulawesi,mdr,FALSE,FALSE
mns,Mansi,,62,62,mans1258,mns,Uralic,Finno-Ugric,Ugric,mns,FALSE,FALSE
mnt,Mentawai,,-1.5,99,ment1249,mwv,Austronesian,,Northwest Sumatra-Barrier Islands,mwv,FALSE,FALSE
mnu,Mun,,19,110,kimm1245,mji,Hmong-Mien,,Hmong-Mien,mji,FALSE,FALSE
mnv,Minaveha,,-9.6,150.4666667,mina1269,mvn,Austronesian,Eastern Malayo-Polynesian,Oceanic,mvn,FALSE,FALSE
mnx,Manx,,54.16666667,-4.5,manx1243,glv,Indo-European,,Celtic,glv,FALSE,FALSE
mny,Margany,,-27,144.5,marg1253,zmc,Pama-Nyungan,,Northern Pama-Nyungan,zmc,FALSE,FALSE
mnz,Munzombo,,3,18.41666667,monz1249,moj,Niger-Congo,Adamawa-Ubangi,Ubangi,moj,FALSE,FALSE
moa,Mono-Alu,,-7.05,155.75,mono1273,mte,Austronesian,Eastern Malayo-Polynesian,Oceanic,mte,FALSE,FALSE
moc,Moca,,7.583333333,35.5,shek1244,moy,Afro-Asiatic,Omotic,North Omotic,moy,FALSE,FALSE
moe,Mordvin (Erzya),,53,45.5,erzy1239,myv,Uralic,Finno-Ugric,Mordvin,myv,FALSE,FALSE
mof,Mofu-Gudur,,10.5,14,mofu1248,mif,Afro-Asiatic,Chadic,Biu-Mandara,mif,FALSE,FALSE
mog,Moghol,,35,62,mogh1245,mhj,Altaic,,Mongolic,mhj,FALSE,FALSE
moh,Mohawk,,43.5,-74.25,moha1258,moh,Iroquoian,,Northern Iroquoian,moh,FALSE,FALSE
moj,Mojave,,34.66666667,-114.5833333,moha1256,mov,Hokan,,Yuman,mov,FALSE,FALSE
mok,Mokilese,,6.666666667,159.75,moki1238,mkj,Austronesian,Eastern Malayo-Polynesian,Oceanic,mkj,FALSE,FALSE
mol,Moldavian,,47,29,roma1327,ron,Indo-European,,Romance,ron,FALSE,FALSE
mom,Mombum,,-8.25,138.75,nucl1452,mso,,,,mso,FALSE,FALSE
mon,Mon,,14.83333333,100.5,monn1252,mnw,Austro-Asiatic,Mon-Khmer,Monic,mnw,FALSE,FALSE
moo,Mooré,,12.83333333,-1.25,moss1236,mos,Niger-Congo,Gur,Northern-Central Gur,mos,FALSE,FALSE
mop,Mopan,,16.58333333,-88.66666667,mopa1243,mop,Mayan,,Mayan,mop,FALSE,FALSE
mor,Mor,,-2.95,135.75,morm1235,mhz,Austronesian,Eastern Malayo-Polynesian,South Halmahera - West New Guinea,mhz,FALSE,FALSE
mos,Mosetén,,-14.75,-67.83333333,mose1249,cas,Mosetenan,,Mosetenan,cas,FALSE,FALSE
mot,Motuna,,-6.616666667,155.4166667,siwa1245,siw,East Bougainville,,East Bougainville,siw,FALSE,FALSE
mou,Moru,,4.75,29.75,moru1253,mgd,Central Sudanic,,Moru-Ma'di,mgd,FALSE,FALSE
mov,Movima,,-13.83333333,-65.66666667,movi1243,mzp,,,,mzp,FALSE,FALSE
mpa,Murrinh-Patha,,-14.66666667,129.6666667,murr1258,mwf,Southern Daly,Daly,Murrinh-Patha,mwf,FALSE,FALSE
mpo,Mpongwe,,-1.25,9.5,myen1241,mye,Niger-Congo,Benue-Congo,Bantoid,mye,FALSE,FALSE
mpr,Maipure,,5.5,-67.5,maip1246,,Arawakan,,Alto-Orinoco,,FALSE,FALSE
mpt,Mian,,-4.75,141.5,mian1256,mpt,Trans-New Guinea,,Ok,mpt,FALSE,FALSE
mpu,Mpur,,-0.75,133.25,mpur1239,akc,West Papuan,,Kebar,akc,FALSE,FALSE
mpy,Mapoyo,,6,-67,mapo1246,mcg,Cariban,,Cariban,mcg,FALSE,FALSE
mqc,Martinique Creole,,14.66666667,-61,guad1242,gcf,other,,Creoles and Pidgins,gcf,FALSE,FALSE
mqf,Momuna,,-4.833333333,139.25,momu1241,mqf,Trans-New Guinea,,Momuna,mqf,FALSE,FALSE
mra,Mara,,-15,135.1666667,mara1385,mec,Mangarrayi-Maran,,Mara,mec,FALSE,FALSE
mrc,Marchha,,30.25,79.58333333,rong1264,rnp,Sino-Tibetan,Tibeto-Burman,Bodic,rnp,FALSE,FALSE
mrd,Marind,,-7.833333333,140.1666667,nucl1622,mrz,Anim,,Marind,mrz,FALSE,TRUE
mrg,Margi,,11,13,marg1265,mrt,Afro-Asiatic,Chadic,Biu-Mandara,mrt,FALSE,FALSE
mrh,Marrithiyel,,-13.83333333,130,mari1424,mfr,Western Daly,,Bringen,mfr,FALSE,FALSE
mri,Moraori,,-8.583333333,140.6666667,moro1289,mok,,,,mok,FALSE,FALSE
mrj,Mirniny,,-31,129,ngad1258,nju,Pama-Nyungan,,Western Pama-Nyungan,nju,FALSE,FALSE
mrk,Murik,,-3.833333333,144.25,muri1260,mtf,Lower Sepik-Ramu,,Lower Sepik,mtf,FALSE,FALSE
mrl,Murle,,6.5,33.5,murl1244,mur,Eastern Sudanic,,Surmic,mur,FALSE,TRUE
mrn,Maranao,,7.833333333,124.25,mara1404,mrw,Austronesian,,Greater Central Philippine,mrw,FALSE,FALSE
mro,Moro,,11,30.16666667,moro1285,mor,Kordofanian,,Heiban,mor,FALSE,FALSE
mrq,Marquesan,,-8.916666667,-140.0833333,,,Austronesian,Eastern Malayo-Polynesian,Oceanic,mqm mrq,FALSE,FALSE
mrr,Maringarr,,-14.25,130,mari1419,zmt,Western Daly,,Bringen,zmt,FALSE,FALSE
mrs,Mairasi,,-3.5,134,nucl1594,zrs,Trans-New Guinea,,Mairasi-Tanahmerah,zrs,FALSE,FALSE
mrt,Martuthunira,,-20.83333333,116.5,mart1255,vma,Pama-Nyungan,,Western Pama-Nyungan,vma,TRUE,TRUE
