wals code,name,value,description,latitude,longitude,genus,family,area
llm,Lelemi,3,Average,7.333333333,0.5,Kwa,Niger-Congo,Phonology
len,Lenakel,2,Moderately low,-19.45,169.25,Oceanic,Austronesian,Phonology
lep,Lepcha,3,Average,27.16666667,88.5,Lepcha,Sino-Tibetan,Phonology
lez,Lezgian,5,High,41.66666667,47.83333333,Lezgic,Nakh-Daghestanian,Phonology
lit,Lithuanian,4,Moderately high,55,24,Baltic,Indo-European,Phonology
lua,Lua,3,Average,9.75,17.75,Bua,Niger-Congo,Phonology
lug,Lugbara,3,Average,3.083333333,30.91666667,Moru-Ma'di,Central Sudanic,Phonology
lui,Luiseño,3,Average,33.33333333,-117.1666667,California Uto-Aztecan,Uto-Aztecan,Phonology
luo,Luo,3,Average,-0.5,34.75,Nilotic,Eastern Sudanic,Phonology
lus,Lushootseed,5,High,48,-122,Central Salish,Salishan,Phonology
kkv,Lusi,3,Average,-5.583333333,149.6666667,Oceanic,Austronesian,Phonology
luv,Luvale,3,Average,-12,22,Bantoid,Niger-Congo,Phonology
lu,Lü,2,Moderately low,22,100.6666667,Kam-Tai,Tai-Kadai,Phonology
mya,Ma'ya,3,Average,-1.25,130.9166667,South Halmahera - West New Guinea,Austronesian,Phonology
maa,Maasai,2,Moderately low,-3,36,Nilotic,Eastern Sudanic,Phonology
mab,Maba,3,Average,13.75,20.83333333,Maban,Maban,Phonology
mne,Maidu (Northeast),3,Average,40,-120.6666667,Maiduan,Penutian,Phonology
mak,Makah,5,High,48.33333333,-124.6666667,Southern Wakashan,Wakashan,Phonology
mal,Malagasy,5,High,-20,47,Barito,Austronesian,Phonology
mlk,Malakmalak,3,Average,-13.41666667,130.4166667,Northern Daly,Northern Daly,Phonology
mla,Mambila,2,Moderately low,6.75,11.5,Bantoid,Niger-Congo,Phonology
mnc,Manchu,3,Average,49.5,127.5,Tungusic,Altaic,Phonology
mnd,Mandarin,3,Average,34,110,Chinese,Sino-Tibetan,Phonology
myi,Mangarrayi,3,Average,-14.66666667,133.5,Mangarrayi,Mangarrayi-Maran,Phonology
mgg,Mangghuer,4,Moderately high,36,102,Mongolic,Altaic,Phonology
mao,Maori,1,Low,-40,176,Oceanic,Austronesian,Phonology
map,Mapudungun,3,Average,-38,-72,Araucanian,Araucanian,Phonology
mrn,Maranao,3,Average,7.833333333,124.25,Greater Central Philippine,Austronesian,Phonology
mku,Maranungku,2,Moderately low,-13.66666667,130,Wagaydy,Western Daly,Phonology
mrg,Margi,5,High,11,13,Biu-Mandara,Afro-Asiatic,Phonology
mme,Mari (Meadow),3,Average,57,48,Mari,Uralic,Phonology
